Date,Energy_Generated,Efficiency,Energy_Exported,Energy_Used,Peak_Power,Peak_Time,Condition,Min_Temperature,Max_Temperature,Peak_Energy_Import,Off-Peak_Energy_Import,Shoulder_Energy_Import,High-Shoulder_Energy_Import,Insolation
20121114,3476,3.219,2740,0,689,14:10,Mostly Cloudy,5,20,NaN,NaN,NaN,NaN,4123
20121115,3147,2.914,2992,0,720,13:40,Mostly Cloudy,7,21,NaN,NaN,NaN,NaN,4088
20121116,3416,3.163,2955,0,682,12:30,Mostly Cloudy,8,21,NaN,NaN,NaN,NaN,4053
20121117,1168,1.081,898,0,475,11:10,Cloudy,9,15,NaN,NaN,NaN,NaN,4019
20121118,693,0.642,346,0,466,12:00,Showers,11,15,NaN,NaN,NaN,NaN,3986
20121119,2809,2.601,2228,0,794,11:50,Mostly Cloudy,11,19,NaN,NaN,NaN,NaN,3953
20121120,3014,2.791,2380,0,692,12:50,Mostly Cloudy,5,18,NaN,NaN,NaN,NaN,3921
20121121,142,0.131,84,0,64,14:30,Showers,11,12,NaN,NaN,NaN,NaN,3889
20121122,3470,3.213,2963,0,714,12:50,Mostly Cloudy,7,17,NaN,NaN,NaN,NaN,3859
20121123,2631,2.436,2591,0,824,12:10,Cloudy,4,14,NaN,NaN,NaN,NaN,3829
20121124,671,0.621,465,0,193,12:20,Showers,5,12,NaN,NaN,NaN,NaN,3799
20121125,254,0.235,20,0,96,11:00,Showers,10,12,NaN,NaN,NaN,NaN,3771
20121126,104,0.096,52,0,36,10:30,Showers,10,11,NaN,NaN,NaN,NaN,3744
20121127,836,0.774,559,0,384,16:10,Showers,8,10,NaN,NaN,NaN,NaN,3717
20121128,141,0.131,20,0,64,15:50,Showers,6,7,NaN,NaN,NaN,NaN,3691
20121129,622,0.576,528,0,295,16:20,Showers,5,7,NaN,NaN,NaN,NaN,3667
20121130,3446,3.191,2781,0,723,13:30,Mostly Cloudy,1,10,NaN,NaN,NaN,NaN,3643
20121201,2915,2.699,2694,0,830,13:00,Mostly Cloudy,1,8,NaN,NaN,NaN,NaN,3620
20121202,1075,0.995,745,0,674,11:30,Cloudy,0,8,NaN,NaN,NaN,NaN,3598
20121203,1197,1.108,833,0,800,13:20,Cloudy,9,14,NaN,NaN,NaN,NaN,3577
20121204,1093,1.012,1039,0,794,14:00,Cloudy,7,11,NaN,NaN,NaN,NaN,3557
20121205,1104,1.022,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3538
20121206,1107,1.025,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3520
20121207,1733,1.605,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3503
20121208,2020,1.870,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3487
20121209,438,0.406,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3473
20121210,565,0.523,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3459
20121211,2234,2.069,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3447
20121212,2810,2.602,0,0,NaN,NaN,Fine,NaN,NaN,NaN,NaN,NaN,NaN,3436
20121215,1695,1.569,1642,0,729,12:00,Cloudy,12,17,NaN,NaN,NaN,NaN,3409
20121216,2931,2.714,2247,0,779,14:20,Mostly Cloudy,5,17,NaN,NaN,NaN,NaN,3402
20121217,976,0.904,910,0,737,11:50,Showers,9,13,NaN,NaN,NaN,NaN,3397
20121218,2706,2.506,2463,0,678,12:50,Mostly Cloudy,7,16,NaN,NaN,NaN,NaN,3393
20121219,738,0.683,492,0,314,14:40,Showers,9,15,NaN,NaN,NaN,NaN,3389
20121220,442,0.409,256,0,270,15:00,Showers,8,12,NaN,NaN,NaN,NaN,3388
20121221,1867,1.729,1787,0,710,13:40,Cloudy,8,16,NaN,NaN,NaN,NaN,3387
20121222,2040,1.889,1099,0,654,13:10,Cloudy,8,18,NaN,NaN,NaN,NaN,3387
20121223,3320,3.074,2578,0,677,12:40,Mostly Cloudy,6,22,NaN,NaN,NaN,NaN,3389
20121224,1443,1.336,1021,0,816,13:20,Cloudy,7,17,NaN,NaN,NaN,NaN,3392
20121225,850,0.787,659,0,449,10:40,Showers,7,13,NaN,NaN,NaN,NaN,3396
20121226,3298,3.054,2930,0,697,13:10,Mostly Cloudy,8,15,NaN,NaN,NaN,NaN,3402
20121227,514,0.476,243,0,146,10:50,Showers,4,14,NaN,NaN,NaN,NaN,3408
20121228,3220,2.981,2586,0,671,13:40,Mostly Cloudy,7,18,NaN,NaN,NaN,NaN,3416
20121229,3340,3.093,3176,0,704,12:40,Mostly Cloudy,4,17,NaN,NaN,NaN,NaN,3425
20121230,793,0.734,551,0,259,13:40,Showers,5,11,NaN,NaN,NaN,NaN,3435
20121231,2888,2.674,2312,0,662,13:50,Mostly Cloudy,2,15,NaN,NaN,NaN,NaN,3446
20130101,1013,0.938,998,0,807,13:10,Showers,8,13,NaN,NaN,NaN,NaN,3458
20130102,2878,2.665,2840,0,837,13:00,Mostly Cloudy,7,13,NaN,NaN,NaN,NaN,3472
20130103,3282,3.039,2844,0,708,12:40,Mostly Cloudy,2,14,NaN,NaN,NaN,NaN,3486
20130104,3377,3.127,3332,0,682,13:00,Mostly Cloudy,2,15,NaN,NaN,NaN,NaN,3502
20130105,3315,3.069,2735,0,710,13:00,Mostly Cloudy,3,11,NaN,NaN,NaN,NaN,3518
20130106,1858,1.720,1762,0,774,12:20,Cloudy,3,3,NaN,NaN,NaN,NaN,3536
20130107,927,0.858,811,0,713,12:20,Showers,3,6,NaN,NaN,NaN,NaN,3555
20130108,312,0.289,132,0,100,14:20,Showers,3,4,NaN,NaN,NaN,NaN,3575
20130109,843,0.781,656,0,634,14:50,Showers,4,7,NaN,NaN,NaN,NaN,3596
20130110,692,0.641,588,0,366,16:20,Showers,7,7,NaN,NaN,NaN,NaN,3618
20130111,3359,3.110,2993,0,725,12:50,Mostly Cloudy,5,14,NaN,NaN,NaN,NaN,3641
20130112,2027,1.877,1404,0,841,12:40,Cloudy,3,11,NaN,NaN,NaN,NaN,3665
20130113,285,0.264,150,0,107,14:30,Showers,6,7,NaN,NaN,NaN,NaN,3690
20130114,244,0.226,130,0,84,13:00,Showers,5,5,NaN,NaN,NaN,NaN,3716
20130115,582,0.539,439,0,732,14:20,Showers,6,8,NaN,NaN,NaN,NaN,3742
20130116,829,0.768,766,0,841,14:20,Showers,8,13,NaN,NaN,NaN,NaN,3770
20130117,2569,2.379,1689,0,773,13:30,Cloudy,4,9,NaN,NaN,NaN,NaN,3798
20130118,438,0.406,394,0,273,14:40,Showers,5,11,NaN,NaN,NaN,NaN,3827
20130119,528,0.489,511,0,250,13:10,Showers,8,10,NaN,NaN,NaN,NaN,3857
20130120,712,0.659,469,0,399,13:30,Showers,4,8,NaN,NaN,NaN,NaN,3888
20130121,1297,1.201,1165,0,532,10:40,Cloudy,5,8,NaN,NaN,NaN,NaN,3920
20130122,943,0.873,785,0,733,13:50,Showers,0,6,NaN,NaN,NaN,NaN,3952
20130123,523,0.484,380,0,296,14:10,Showers,3,3,NaN,NaN,NaN,NaN,3985
20130124,292,0.270,217,0,173,14:00,Showers,5,7,NaN,NaN,NaN,NaN,4018
20130125,4162,3.854,3300,0,763,13:00,Mostly Cloudy,0,20,NaN,NaN,NaN,NaN,4053
20130126,22,0.020,16,0,57,11:30,Showers,8,9,NaN,NaN,NaN,NaN,4087
20130127,378,0.350,166,0,168,13:00,Showers,6,11,NaN,NaN,NaN,NaN,4123
20130128,2668,2.470,2255,0,854,13:40,Cloudy,8,24,NaN,NaN,NaN,NaN,4159
20130129,2505,2.319,2458,0,596,12:40,Cloudy,2,22,NaN,NaN,NaN,NaN,4195
20130130,3240,3.000,2922,0,785,11:50,Mostly Cloudy,5,27,NaN,NaN,NaN,NaN,4232
20130131,2482,2.298,2155,0,954,13:20,Cloudy,7,26,NaN,NaN,NaN,NaN,4269
20130201,2477,2.294,2068,0,573,13:10,Cloudy,10,23,NaN,NaN,NaN,NaN,4307
20130202,491,0.455,477,0,774,14:00,Showers,5,8,NaN,NaN,NaN,NaN,4345
20130203,4418,4.091,4058,0,792,13:40,Partly Cloudy,3,17,NaN,NaN,NaN,NaN,4384
20130204,818,0.757,678,0,272,12:00,Showers,10,14,NaN,NaN,NaN,NaN,4423
20130205,2368,2.193,2321,0,777,13:10,Cloudy,9,19,NaN,NaN,NaN,NaN,4462
20130206,667,0.618,413,0,912,13:40,Showers,4,8,NaN,NaN,NaN,NaN,4502
20130207,1667,1.544,1375,0,901,13:00,Cloudy,3,8,NaN,NaN,NaN,NaN,4541
20130208,401,0.371,341,0,223,13:10,Showers,4,8,NaN,NaN,NaN,NaN,4581
20130209,657,0.608,444,0,247,12:00,Showers,3,7,NaN,NaN,NaN,NaN,4622
20130210,1832,1.696,1589,0,705,11:30,Cloudy,6,14,NaN,NaN,NaN,NaN,4662
20130211,893,0.827,866,0,720,14:40,Showers,3,7,NaN,NaN,NaN,NaN,4702
20130212,3533,3.271,3009,0,818,13:30,Mostly Cloudy,4,13,NaN,NaN,NaN,NaN,4743
20130213,1563,1.447,1550,0,964,11:30,Cloudy,4,11,NaN,NaN,NaN,NaN,4783
20130214,952,0.881,514,0,644,13:50,Showers,10,13,NaN,NaN,NaN,NaN,4824
20130215,1984,1.837,1868,0,940,13:30,Cloudy,8,14,NaN,NaN,NaN,NaN,4865
20130216,5036,4.663,4908,0,827,13:20,Partly Cloudy,2,21,NaN,NaN,NaN,NaN,4906
20130217,4752,4.400,4163,0,797,13:00,Partly Cloudy,1,20,NaN,NaN,NaN,NaN,4946
20130218,2898,2.683,2392,0,845,13:50,Mostly Cloudy,5,19,NaN,NaN,NaN,NaN,4987
